case,DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g
1,0,27.03070924,78.06128959,535.0942956,1.393615994,165.0529167,3961.27,10653.24414,255677.8594,570.7681,13698.4344,0,0,11224.01224,269376.2938,0.167719388
1,1,27.5427513,78.07504074,523.98659,1.384430622,165.8566667,3980.56,10680.1886,256324.5263,571.1818,13708.3632,0,0,11251.3704,270032.8895,0.181787272
1,2,26.67848168,77.5900483,539.23617,1.39274518,170.5708333,4093.7,10655.17795,255724.2709,569.8028,13675.2672,0,0,11224.98075,269399.5381,0.265921009
1,3,26.15733514,77.36609107,760.1503296,1.401297587,165.8566667,3980.56,10680.1886,256324.5263,571.1818,13708.3632,0,0,11251.3704,270032.8895,0.423650023
1,4,26.52289073,78.13165027,539.535758,1.403796167,163.98125,3935.55,10659.56126,255829.4703,570.0786,13681.8864,0,0,11229.63986,269511.3567,0.475272432
1,5,26.67848168,77.5900483,539.23617,1.39274518,163.98125,3935.55,10659.56126,255829.4703,570.0786,13681.8864,0,0,11229.63986,269511.3567,1.941879055
1,6,26.62704563,77.89688383,542.8686185,1.403315649,169.7670833,4074.41,10644.47753,255467.4606,569.2512,13662.0288,0,0,11213.72873,269129.4894,2.330900873
1,7,26.52289073,78.13165027,539.535758,1.403796167,168.6954167,4048.69,10673.48471,256163.6331,570.69915,13696.7796,0,0,11244.18386,269860.4127,3.503248572
1,8,25.69840277,77.90388896,572.9861111,1.418729676,171.9104167,4125.85,10638.03148,255312.7556,569.59595,13670.3028,0,0,11207.62743,268983.0584,4.45823929
1,9,25.68513994,78.05998249,544.96383,1.427336582,169.7670833,4074.41,10644.47753,255467.4606,569.2512,13662.0288,0,0,11213.72873,269129.4894,5.315630263
1,10,25.6144132,78.56938231,724.6931287,1.430601753,171.6425,4119.42,10648.86083,255572.66,569.527,13668.648,0,0,11218.38783,269241.308,6.233782216
1,11,25.65311909,78.74524654,610.0994971,1.431732367,164.5170833,3948.41,10645.50889,255492.2134,569.18225,13660.374,0,0,11214.69114,269152.5874,7.77475054
1,12,25.3892809,79.10070132,568.4749529,1.440733006,165.58875,3974.13,10649.8922,255597.4128,569.45805,13666.9932,0,0,11219.35025,269264.406,9.447175525
1,13,25.74999988,79.42173619,530.9451389,1.439033633,160.2304167,3845.53,10658.14313,255795.4352,569.2512,13662.0288,0,0,11227.39433,269457.464,11.2070199
1,14,25.57618052,80.00590283,515.6972222,1.440879999,167.8916667,4029.4,10648.34515,255560.2836,570.14755,13683.5412,0,0,11218.4927,269243.8248,14.39932577
1,15,25.39580267,80.69034724,605.6659722,1.450435978,167.8916667,4029.4,10638.54717,255325.132,569.2512,13662.0288,0,0,11207.79837,268987.1608,17.79280339
1,16,25.37526586,80.9043044,619.3571799,1.442871381,166.1245833,3986.99,10643.31724,255439.6137,569.04435,13657.0644,0,0,11212.36159,269096.6781,21.65776372
1,17,25.48069451,81.61062498,555.3520833,1.433442557,167.19625,4012.71,10646.02458,255504.5898,569.9407,13678.5768,0,0,11215.96528,269183.1666,26.52055283
1,18,25.44242811,82.03580867,640.883863,1.426724799,165.3208333,3967.7,10648.86083,255572.66,568.148,13635.552,0,0,11217.00883,269208.212,32.53345453
1,19,27.73725318,82.63908998,594.4152059,1.429829647,166.6604167,3999.85,10635.96875,255263.25,568.8375,13652.1,0,0,11204.80625,268915.35,39.54171472
1,20,28.1218056,82.17861113,531.35,1.433186903,171.1066667,4106.56,10623.07667,254953.84,568.8375,13652.1,0,0,11191.91417,268605.94,47.53848007
1,21,27.93387206,82.20505994,519.5319205,1.451820202,166.1245833,3986.99,10648.86083,255572.66,569.527,13668.648,0,0,11218.38783,269241.308,55.84064791
1,22,27.51886727,83.03627402,560.31159,1.490737787,168.1595833,4035.83,10626.42861,255034.2866,568.9754,13655.4096,0,0,11195.40401,268689.6962,65.49751467
1,23,27.37263152,83.49332957,536.23125,1.549148018,159.2670833,3822.41,10656.98285,255767.5883,569.32015,13663.6836,0,0,11226.303,269431.2719,74.69383452
1,24,27.39495158,83.56071084,547.3877707,1.615798102,165.3208333,3967.7,10623.07667,254953.84,568.148,13635.552,0,0,11191.22467,268589.392,81.54195795
1,25,27.54481548,82.78779457,611.4630747,1.545131051,163.98125,3935.55,10654.53335,255708.8004,569.6649,13671.9576,0,0,11224.19825,269380.758,82.84727455
1,26,28.03473875,82.37127354,844.3735758,0.558121223,171.1066667,4106.56,10642.54371,255421.0491,569.04435,13657.0644,0,0,11211.58806,269078.1135,82.48248311
1,27,28.92194427,82.70895833,573.5055556,3.38E-05,162.1058333,3890.54,10635.96875,255263.25,568.8375,13652.1,0,0,11204.80625,268915.35,82.25162682
2,0,25.32180547,52.52496668,671.7423611,2.94081808,92.55,2221.2,0,0,2433.1076,58394.5824,2303.277167,55278.652,4736.384767,113673.2344,1.05117766
2,1,23.34979155,49.66614739,617.6694444,3.040906636,92.55,2221.2,0,0,2429.86695,58316.8068,2300.209438,55205.0265,4730.076388,113521.8333,1.220451721
2,2,21.12348007,41.45382315,617.7569444,3.078040726,92.55,2221.2,0,0,2433.45235,58402.8564,2303.603521,55286.4845,4737.055871,113689.3409,1.333023999
2,3,24.81868046,50.66045403,633.1541667,3.140258975,92.55,2221.2,0,0,2433.03865,58392.9276,2303.211896,55277.0855,4736.250546,113670.0131,1.453505508
2,4,25.96986089,55.91750003,664.4305556,3.172048163,92.55,2221.2,0,0,2433.31445,58399.5468,2303.472979,55283.3515,4736.787429,113682.8983,1.61264165
2,5,26.15319423,57.77054009,645.8583333,3.240835694,92.55,2221.2,0,0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,1.80378507
2,6,25.28652775,54.77873635,627.7555556,3.311499584,92.55,2221.2,0,0,2433.2455,58397.892,2303.407708,55281.785,4736.653208,113679.677,2.286577084
2,7,26.78708316,54.03326383,617.4854167,3.331929234,92.55,2221.2,0,0,2432.90075,58389.618,2303.081354,55273.9525,4735.982104,113663.5705,2.816167314
2,8,26.69333326,61.87562503,598.25625,3.424710299,92.55,2221.2,0,0,2433.17655,58396.2372,2303.342438,55280.2185,4736.518988,113676.4557,3.402026749
2,9,26.92770819,62.76805543,595.7645833,3.48215618,92.55,2221.2,0,0,2433.31445,58399.5468,2303.472979,55283.3515,4736.787429,113682.8983,4.168908656
2,10,27.95102772,62.67930555,630.41875,3.51322595,92.55,2221.2,0,0,2432.9697,58391.2728,2303.146625,55275.519,4736.116325,113666.7918,4.995594339
2,11,28.2139582,60.04763867,606.9604167,3.586605369,92.55,2221.2,0,0,2433.1076,58394.5824,2303.277167,55278.652,4736.384767,113673.2344,5.813194195
2,12,26.60437489,64.79625002,624.06875,3.734733383,92.55,2221.2,0,0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,7.106296793
2,13,25.65986106,65.16402767,635.9694444,3.879449157,92.55,2221.2,0,0,2433.2455,58397.892,2303.407708,55281.785,4736.653208,113679.677,8.696228911
2,14,25.15367362,66.67670707,620.4361111,3.986946181,92.55,2221.2,0,0,2433.2455,58397.892,2303.407708,55281.785,4736.653208,113679.677,10.21616007
2,15,29.23368041,68.31812514,590.7340278,4.026266168,92.55,2221.2,0,0,2433.17655,58396.2372,2303.342438,55280.2185,4736.518988,113676.4557,12.46939411
2,16,28.37958267,72.37774317,581.2173611,4.260431253,92.55,2221.2,0,0,2433.17655,58396.2372,2303.342438,55280.2185,4736.518988,113676.4557,14.81941848
2,17,24.94636794,77.21972922,593.1368056,4.614930057,92.55,2221.2,0,0,2432.8318,58387.9632,2302.950813,55270.8195,4735.782613,113658.7827,17.97028462
2,18,26.38381942,75.55722207,617.0645833,4.770578666,92.55,2221.2,0,0,2433.5213,58404.5112,2303.734063,55289.6175,4737.255363,113694.1287,21.65757487
2,19,27.87993053,73.09798606,582.00625,4.992004259,92.55,2221.2,0,0,2433.6592,58407.8208,2303.734063,55289.6175,4737.393263,113697.4383,26.90897974
2,20,26.85805542,78.47418054,575.4520833,4.890871883,92.55,2221.2,0,0,2433.45235,58402.8564,2303.603521,55286.4845,4737.055871,113689.3409,31.10265224
2,21,26.84444433,79.95892385,603.8052083,2.982543226,92.55,2221.2,0,0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,33.10082147
2,22,28.22326379,79.94413198,583.6527778,1.329912672,92.55,2221.2,0,0,2432.76285,58386.3084,2303.016083,55272.386,4735.778933,113658.6944,41.61729475
2,23,27.31604161,79.44131917,560.5979167,0.098185414,92.55,2221.2,0,0,2433.31445,58399.5468,2303.472979,55283.3515,4736.787429,113682.8983,48.83608171
2,24,25.67316652,74.63769879,560.89,0,92.55,2221.2,0,0,2433.59025,58406.166,2303.799333,55291.184,4737.389583,113697.35,52.80172738
2,25,25.80715275,76.63927109,617.4930556,0,92.55,2221.2,0,0,2432.48705,58379.6892,2302.689729,55264.5535,4735.176779,113644.2427,55.37398799
2,26,25.88513889,76.59579889,618.9076389,0,92.55,2221.2,0,0,2432.48705,58379.6892,2302.689729,55264.5535,4735.176779,113644.2427,56.77197545
2,27,25.88513889,76.59579889,618.9076389,0,92.55,2221.2,0,0,2432.48705,58379.6892,2302.689729,55264.5535,4735.176779,113644.2427,65.50538391
3,0,17.51632999,52.77261646,902.1069915,1.696655788,53.39458333,1281.47,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,0.685390812
3,1,17.51632999,52.77261646,902.1069915,1.696655788,53.39458333,1281.47,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.337353039
3,2,17.36073329,53.20366318,970.3311141,1.714184496,43.32791667,1039.87,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.578359876
3,3,18.1509134,51.73374313,757.2708343,1.72964962,17.99583333,431.9,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.851882565
3,4,16.75184803,51.08165734,556.5522619,1.76256314,25.70833333,617,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.968095728
3,5,16.67331817,49.79366867,448.0229832,1.77878024,30.58208333,733.97,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,2.586134271
3,6,18.54112773,47.13805915,762.9321694,1.768951967,35.45583333,850.94,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,2.855688264
3,7,18.30312974,46.11775533,903.6682588,1.787006095,42.09666667,1010.32,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,3.475047555
3,8,18.7038888,46.96791665,986.7569444,1.802134791,46.7025,1120.86,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,4.075196532
3,9,18.84725142,48.08292063,1010.572537,1.815145467,37.22291667,893.35,8603.918575,206494.0458,729.491,17507.784,1246.607646,29918.5835,10580.01722,253920.4133,4.466143218
3,10,19.60048605,49.58051121,983.9638889,1.827550368,45.20333333,1084.88,8598.761742,206370.2818,730.11155,17522.6772,1243.735729,29849.6575,10572.60902,253742.6165,5.03873507
3,11,20.38602898,48.38034924,635.2402059,1.83963646,51.30833333,1231.4,8613.071954,206713.7269,731.07685,17545.8444,1244.453708,29866.889,10588.60251,254126.4603,5.974833058
3,12,20.06291651,48.30562487,640.5979167,1.867632405,48.04208333,1153.01,8616.810658,206803.4558,729.491,17507.784,1246.738188,29921.7165,10593.03985,254232.9563,6.717821714
3,13,19.63751974,52.10113595,974.3939484,1.901100523,39.52583333,948.62,8601.984763,206447.6343,729.28415,17502.8196,1244.58425,29870.022,10575.85316,253820.4759,7.560951715
3,14,21.58239756,54.51026687,947.7030702,1.911972953,48.25291667,1158.07,8601.082317,206425.9756,729.9047,17517.7128,1243.278833,29838.692,10574.26585,253782.3804,8.65654294
