DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,25.75277766,52.42180564,478.5416667,0.78261979,544.7083333,13073,8614.490083,206747.762,729.69785,17512.7484,1246.672917,29920.15,10590.86085,254180.6604,0.55485317,12
1,25.81737592,54.71005906,494.1993371,0.800492833,576.75,13842,8324.418208,199786.037,3043.5909,73046.1816,1208.946375,29014.713,12576.95548,301846.9316,3.228855158,12
2,26.43543933,50.85020264,390.5840278,0.816051467,416.5416667,9997,0,0,3606.085,86546.04,4203.441667,100882.6,7809.526667,187428.64,3.380778288,12
3,26.85582241,48.16053546,389.3547134,0.775112798,416.5416667,9997,0,0,3454.395,82905.48,4183.860417,100412.65,7638.255417,183318.13,3.557659214,12
4,26.30511579,53.42085236,424.6944444,0.666518296,416.5416667,9997,0,0,3619.875,86877,4203.441667,100882.6,7823.316667,187759.6,3.846427163,12
5,26.28356786,54.4885098,416.9354167,0.516497018,416.5416667,9997,0,0,3612.98,86711.52,4203.441667,100882.6,7816.421667,187594.12,3.902475284,12
6,26.04759102,55.67572847,442.2757283,0.363972116,416.5416667,9997,0,0,3612.98,86711.52,4183.860417,100412.65,7796.840417,187124.17,3.915556236,12
7,26.77474445,54.32682329,451.1972222,0.571381367,416.5416667,9997,0,0,3626.77,87042.48,4203.441667,100882.6,7830.211667,187925.08,3.922565371,12
8,26.60486279,58.13644749,439.3736111,0.797075949,416.5416667,9997,0,0,3626.77,87042.48,4203.441667,100882.6,7830.211667,187925.08,4.168728347,12
9,26.83061702,53.65351697,398.6777778,0.806005542,416.5416667,9997,0,0,3606.085,86546.04,4203.441667,100882.6,7809.526667,187428.64,5.21263325,12
10,26.51131222,57.03041451,419.2854167,0.81524864,416.5416667,9997,0,0,3619.875,86877,4170.80625,100099.35,7790.68125,186976.35,6.305091234,12
11,26.507866,58.04304858,566.8486111,0.827528072,416.5416667,9997,0,0,3626.77,87042.48,4203.441667,100882.6,7830.211667,187925.08,10.33965613,12
12,26.45415942,58.40871173,485.9638889,0.841174728,416.5416667,9997,0,0,3626.77,87042.48,4196.914583,100725.95,7823.684583,187768.43,10.8236939,12
13,26.80389209,56.32549508,468.65,0.858240829,416.5416667,9997,0,0,3626.77,87042.48,4183.860417,100412.65,7810.630417,187455.13,12.56319763,12
14,26.62442557,59.21726087,455.2923611,1.211238797,416.5416667,9997,0,0,3626.77,87042.48,4196.914583,100725.95,7823.684583,187768.43,14.99178426,12
15,26.40522188,63.43582425,405.564807,1.749112869,448.5833333,10766,0,0,3626.77,87042.48,4203.441667,100882.6,7830.211667,187925.08,18.6911798,12
16,26.17548599,66.76486164,392.7895833,1.765469833,416.5416667,9997,0,0,3606.085,86546.04,4203.441667,100882.6,7809.526667,187428.64,23.98884738,12
17,26.32930547,68.08788775,380.4611111,1.785100396,416.5416667,9997,0,0,3619.875,86877,4183.860417,100412.65,7803.735417,187289.65,34.15870237,12
18,26.30140137,70.18616399,392.9287247,1.834865673,416.5416667,9997,0,0,868.77,20850.48,4203.441667,100882.6,5072.211667,121733.08,38.75393937,12
19,26.11991924,72.67422458,397.4685484,1.887940471,416.5416667,9997,0,0,2758,66192,0,0,2758,66192,48.26650109,12
20,26.12901506,73.12911234,398.8454861,1.908525278,416.5416667,9997,0,0,3606.085,86546.04,4203.441667,100882.6,7809.526667,187428.64,57.68139111,12
21,26.18131933,72.77332246,407.7504861,1.953268484,416.5416667,9997,0,0,3626.77,87042.48,4183.860417,100412.65,7810.630417,187455.13,62.47175392,12
22,26.28810576,73.90947065,418.8077801,1.998227925,416.5416667,9997,0,0,3626.77,87042.48,4196.914583,100725.95,7823.684583,187768.43,71.57454133,12
23,26.28215271,73.02433226,382.879867,2.05716027,416.5416667,9997,0,0,3619.875,86877,4203.441667,100882.6,7823.316667,187759.6,81.26148602,12
24,25.95719435,73.12158948,379.4027172,1.888436069,416.5416667,9997,0,0,3603.94755,86494.7412,4203.441667,100882.6,7807.389217,187377.3412,90.77979651,12
25,25.72841214,71.66152811,401.7209328,0.304260565,416.5416667,9997,0,0,3606.085,86546.04,4196.914583,100725.95,7802.999583,187271.99,107.2653793,12
26,25.28378537,72.34046936,394.3076427,1.472334076,416.5416667,9997,0,0,3619.875,86877,4183.860417,100412.65,7803.735417,187289.65,121.6922103,12
27,25.53489812,74.57022829,401.3888141,2.600989887,416.5416667,9997,0,0,3626.77,87042.48,4196.914583,100725.95,7823.684583,187768.43,133.654589,12
