DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,29.45437486,59.17833325,526.70625,0,470.4441667,11290.66,8726.393367,209433.4408,0,0,0,0,8726.393367,209433.4408,0.19,17
1,30.58598162,60.31662829,522.6704262,0,480.0891667,11522.14,8734.128617,209619.0868,0,0,0,0,8734.128617,209619.0868,0.66,17
2,30.20909721,59.10486107,548.0833333,0,479.82125,11515.71,8721.494375,209315.865,0,0,0,0,8721.494375,209315.865,0.59,17
3,29.72909708,60.65527776,553.9465278,0,400.7345833,9617.63,8733.999696,209615.9927,0,0,0,0,8733.999696,209615.9927,1,17
4,28.35954809,63.1384323,589.2582863,0,480.625,11535,8739.156529,209739.7567,0,0,0,0,8739.156529,209739.7567,2.62,17
5,29.93251817,61.10237325,551.3192699,0,480.0891667,11522.14,8181.960688,196367.0565,0,0,0,0,8181.960688,196367.0565,2.93,17
6,30.12451371,60.0150695,561.8479167,0,448.0475,10753.14,8734.902142,209637.6514,0,0,0,0,8734.902142,209637.6514,4.78,17
7,30.5483331,59.16166665,543.9527778,0,479.5533333,11509.28,8725.104158,209402.4998,0,0,0,0,8725.104158,209402.4998,5.04,17
8,30.95402759,60.0856249,541.95625,0,511.8629167,12284.71,8736.964875,209687.157,0,0,0,0,8736.964875,209687.157,6.24,17
9,30.70698095,60.40529611,553.503621,0,448.0475,10753.14,8721.107613,209306.5827,0,0,0,0,8721.107613,209306.5827,8.28,17
10,29.10937489,60.56472222,574.0347222,0,416.9691667,10007.26,8735.288904,209646.9337,0,0,0,0,8735.288904,209646.9337,10.8,17
11,27.8430095,59.47927724,552.5375235,0,544.4404167,13066.57,8739.156529,209739.7567,0,0,0,0,8739.156529,209739.7567,13.14,17
12,24.81840267,58.44444445,434.6597222,0,432.5083333,10380.2,8731.292358,209551.0166,0,0,0,0,8731.292358,209551.0166,17.4,17
13,25.98888642,59.97618412,489.7145833,0,479.445,11506.68,8735.804588,209659.3101,0,0,0,0,8735.804588,209659.3101,19.78,17
14,29.52454018,60.31415712,474.5624521,0,527.5616667,12661.48,8736.449192,209674.7806,0,0,0,0,8736.449192,209674.7806,25.47,17
15,25.5556944,59.3574306,455.3402778,0,508.1120833,12194.69,8735.675667,209656.216,0,0,0,0,8735.675667,209656.216,30.88,17
16,27.26707326,60.12815478,479.1908234,0,1546.0275,37104.66,4374.026033,104976.6248,2.758,66.192,1.174875,28.197,4377.958908,105071.0138,36,17
17,27.09231513,59.78833091,468.5486582,0,1567.392083,37617.41,3065.608496,73574.6039,466.17095,11188.1028,219.31,5263.44,3751.089446,90026.1467,41.49,17
18,29.58844579,62.72530414,474.2244253,0,1670.185833,40084.46,3067.155546,73611.7331,466.30885,11191.4124,219.1141875,5258.7405,3752.578583,90061.886,46.94,17
19,30.83111105,62.6413889,501.7631945,0,1729.64,41511.36,3066.124179,73586.9803,466.44675,11194.722,219.31,5263.44,3751.880929,90045.1423,52.88,17
20,29.652155,63.24536547,487.6170322,0,1639.974167,39359.38,3066.897704,73605.5449,466.30885,11191.4124,219.1141875,5258.7405,3752.320742,90055.6978,63.16,17
21,29.62095316,64.11536134,465.9765184,0,1642.436667,39418.48,3065.608496,73574.6039,466.2399,11189.7576,219.0489167,5257.174,3750.897313,90021.5355,72.94,17
22,26.05652776,61.43715279,466.4236111,0,1641.524583,39396.59,3066.639863,73599.3567,466.30885,11191.4124,219.1794583,5260.307,3752.128171,90051.0761,80.11,17
23,26.69263891,61.55972222,481.125,0,1131.420833,27154.1,3585.546217,86053.1092,546.42875,13114.29,256.7101875,6161.0445,4388.685154,105328.4437,93.82,17
24,24.43769875,62.21954327,475.8439619,0,141.2141667,3389.14,6104.530379,146508.7291,929.3081,22303.3944,436.7924167,10483.018,7470.630896,179295.1415,97.26,17
25,23.94090274,62.52062498,488.29375,0,140.6783333,3376.28,6108.784767,146610.8344,929.0323,22296.7752,436.9229583,10486.151,7474.740025,179393.7606,99.05,17
26,24.60165834,63.03301321,457.6048023,0,130.9820833,3143.57,6100.275992,146406.6238,925.8606,22220.6544,435.1606458,10443.8555,7461.297238,179071.1337,116.41,17
27,26.71366611,63.34942286,432.7552442,0,125.19625,3004.71,6113.296996,146719.1279,928.41175,22281.882,436.661875,10479.885,7478.370621,179480.8949,123.8,17
